"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","1 Hour","Across","6 Weeks","2/8",59,99,50,48,45,0.3465,0.3689,0.0991,0.1011,1.3874,0.9417,0.6044,72.87,41.43
"50%","1.5 Hours","Across","6 Weeks","2/8",72,99,64,59,58,0.4702,0.4977,0.1316,0.1288,1.8151,1.7709,0.7573,69.37,50.39
"50%","2.5 Hours","Across","10 Weeks","2/8",69,97,60,55,54,0.5416,0.563,0.1286,0.1452,2.1624,1.5837,0.7868,67.1,61.16
"10%","1 Hour","Within","10 Weeks","2/8",48,92,38,37,35,0.2499,0.2718,0.0892,0.0976,1.3116,0.6881,0.5534,72.66,50.76
"20%","1 Hour","Within","10 Weeks","2/8",52,93,42,40,38,0.2596,0.2832,0.0969,0.1025,1.3899,0.9252,0.6035,71.27,55.23
"30%","1 Hour","Within","10 Weeks","2/8",54,93,44,41,40,0.2644,0.2896,0.1019,0.1055,1.4356,1.0739,0.6314,70.53,57.22
"40%","1 Hour","Within","10 Weeks","2/8",55,93,45,42,40,0.2673,0.2935,0.1055,0.1077,1.4675,1.1812,0.6494,70.09,58.39
"50%","1 Hour","Within","10 Weeks","2/8",55,93,46,42,41,0.2696,0.2965,0.1082,0.1093,1.4898,1.2574,0.6626,69.76,59.11
"10%","1.5 Hours","Within","10 Weeks","2/8",50,92,40,39,36,0.3032,0.3232,0.0912,0.1072,1.5318,0.7008,0.563,72.39,52.79
"20%","1.5 Hours","Within","10 Weeks","2/8",54,93,44,42,40,0.318,0.339,0.099,0.113,1.616,0.946,0.615,71,57.7
"30%","1.5 Hours","Within","10 Weeks","2/8",56,94,46,43,41,0.3252,0.348,0.1044,0.1164,1.6644,1.0993,0.6442,70.21,59.91
"40%","1.5 Hours","Within","10 Weeks","2/8",57,94,47,44,42,0.3302,0.3538,0.1082,0.1188,1.6961,1.21,0.663,69.74,61.24
"10%","2 Hours","Across","6 Weeks","2/8",62,99,54,52,49,0.4739,0.4927,0.1024,0.1216,1.7834,0.9694,0.6197,72.53,44.08
"50%","1.5 Hours","Within","10 Weeks","2/8",58,94,48,44,43,0.3338,0.3578,0.1111,0.1207,1.7202,1.2898,0.6769,69.4,62.05
"10%","2 Hours","Within","10 Weeks","2/8",51,93,41,40,37,0.34,0.3592,0.0923,0.1133,1.6749,0.7102,0.5675,72.27,53.72
"20%","2 Hours","Within","10 Weeks","2/8",55,93,45,43,41,0.3589,0.3795,0.1006,0.1199,1.7698,0.9582,0.6202,70.82,58.87
"30%","2 Hours","Within","10 Weeks","2/8",57,94,47,44,42,0.3684,0.3901,0.1059,0.1236,1.8202,1.1149,0.6498,70.06,61.16
"40%","2 Hours","Within","10 Weeks","2/8",58,94,48,45,43,0.3747,0.3971,0.1097,0.1262,1.8551,1.228,0.6691,69.58,62.57
"50%","2 Hours","Within","10 Weeks","2/8",59,94,49,45,44,0.3793,0.402,0.1128,0.1282,1.8788,1.3108,0.6835,69.22,63.44
"10%","2.5 Hours","Within","10 Weeks","2/8",51,93,41,40,37,0.3655,0.384,0.0928,0.1168,1.7577,0.7158,0.569,72.23,54.2
"20%","2.5 Hours","Within","10 Weeks","2/8",56,94,45,43,41,0.387,0.4067,0.1011,0.1237,1.8579,0.9644,0.6224,70.77,59.46
"30%","2.5 Hours","Within","10 Weeks","2/8",58,94,47,45,43,0.3981,0.4188,0.1065,0.1276,1.9105,1.1222,0.6524,70,61.82
"40%","2.5 Hours","Within","10 Weeks","2/8",59,94,49,45,44,0.4055,0.4268,0.1104,0.1303,1.9463,1.2358,0.6716,69.52,63.27
"20%","2 Hours","Across","6 Weeks","2/8",69,99,60,56,54,0.4979,0.5191,0.1135,0.1276,1.8617,1.2782,0.6786,71.04,48.03
"50%","2.5 Hours","Within","10 Weeks","2/8",59,94,49,46,44,0.411,0.4326,0.1136,0.1325,1.9714,1.322,0.6865,69.16,64.15
"10%","1 Hour","Across","12 Weeks","2/8",51,93,41,40,37,0.2978,0.3204,0.0988,0.1047,1.4826,0.8513,0.6405,70.54,50.69
"20%","1 Hour","Across","12 Weeks","2/8",56,94,46,43,41,0.31,0.3357,0.1083,0.1095,1.5499,1.1232,0.6984,69.06,55.09
"30%","1 Hour","Across","12 Weeks","2/8",58,94,48,45,43,0.3162,0.3437,0.1141,0.1125,1.5841,1.289,0.7342,68.2,57.02
"40%","1 Hour","Across","12 Weeks","2/8",59,95,49,46,44,0.3204,0.3491,0.1185,0.1143,1.6059,1.4113,0.7571,67.65,58.04
"50%","1 Hour","Across","12 Weeks","2/8",60,95,50,46,45,0.3228,0.3528,0.1222,0.1159,1.624,1.5142,0.7755,67.23,58.75
"10%","1.5 Hours","Across","12 Weeks","2/8",53,93,43,42,39,0.3782,0.3979,0.1006,0.1186,1.7859,0.8751,0.6511,70.35,53.18
"20%","1.5 Hours","Across","12 Weeks","2/8",59,94,49,46,44,0.3981,0.42,0.1109,0.1249,1.8627,1.1559,0.7116,68.76,58.1
"30%","1.5 Hours","Across","12 Weeks","2/8",62,95,51,48,46,0.4079,0.4311,0.117,0.1282,1.8954,1.3207,0.7482,67.87,60.24
"40%","1.5 Hours","Across","12 Weeks","2/8",63,95,53,49,47,0.4144,0.4386,0.1216,0.1303,1.9165,1.4468,0.7713,67.32,61.44
