"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","1 Hour","Across","6 Weeks","2/8",36,99,33,31,30,0.4316,0.4588,0.0892,0.085,1.1456,0.7446,0.5495,73.41,34.35
"50%","1.5 Hours","Across","6 Weeks","2/8",49,99,48,42,43,0.6308,0.6598,0.1196,0.1133,1.5302,1.4927,0.6751,70.24,41.46
"50%","2.5 Hours","Across","10 Weeks","2/8",46,98,44,39,39,0.8106,0.833,0.121,0.1273,1.8388,1.3392,0.7335,67.58,51.31
"10%","1 Hour","Within","10 Weeks","2/8",24,92,19,19,18,0.3266,0.3493,0.0911,0.0893,1.2844,0.6509,0.6011,69.82,44.03
"20%","1 Hour","Within","10 Weeks","2/8",27,93,22,21,20,0.3348,0.3607,0.1,0.094,1.3107,0.8858,0.6531,68.47,47.37
"30%","1 Hour","Within","10 Weeks","2/8",28,93,23,22,22,0.339,0.3672,0.1056,0.0966,1.328,1.037,0.6816,67.78,48.87
"40%","1 Hour","Within","10 Weeks","2/8",29,94,24,23,22,0.3416,0.3714,0.1097,0.0986,1.3424,1.1458,0.701,67.35,49.7
"50%","1 Hour","Within","10 Weeks","2/8",30,94,25,23,23,0.344,0.374,0.113,0.1,1.352,1.229,0.714,67.1,50.2
"10%","1.5 Hours","Within","10 Weeks","2/8",26,93,21,21,19,0.436,0.454,0.092,0.1,1.537,0.659,0.608,69.8,46.7
"20%","1.5 Hours","Within","10 Weeks","2/8",30,94,24,24,23,0.45,0.469,0.101,0.105,1.553,0.895,0.66,68.5,50.4
"30%","1.5 Hours","Within","10 Weeks","2/8",31,94,26,25,24,0.457,0.479,0.107,0.107,1.563,1.047,0.688,67.8,52.1
"40%","1.5 Hours","Within","10 Weeks","2/8",32,95,27,25,25,0.462,0.485,0.111,0.109,1.573,1.158,0.708,67.4,53.1
"10%","2 Hours","Across","6 Weeks","2/8",42,99,39,37,35,0.7192,0.7394,0.0935,0.1093,1.5998,0.7722,0.5691,72.88,37.56
"50%","1.5 Hours","Within","10 Weeks","2/8",33,95,27,26,25,0.466,0.489,0.114,0.111,1.58,1.243,0.722,67.1,53.7
"10%","2 Hours","Within","10 Weeks","2/8",27,94,22,22,21,0.526,0.54,0.093,0.108,1.712,0.662,0.611,69.8,48.2
"20%","2 Hours","Within","10 Weeks","2/8",31,95,26,25,24,0.546,0.562,0.102,0.113,1.724,0.899,0.664,68.5,52.2
"30%","2 Hours","Within","10 Weeks","2/8",33,95,27,26,25,0.557,0.575,0.108,0.115,1.73,1.053,0.692,67.8,54.1
"40%","2 Hours","Within","10 Weeks","2/8",34,95,28,27,26,0.564,0.583,0.112,0.117,1.736,1.165,0.711,67.4,55.2
"50%","2 Hours","Within","10 Weeks","2/8",34,95,29,27,27,0.569,0.588,0.115,0.119,1.742,1.253,0.726,67.1,55.8
"10%","2.5 Hours","Within","10 Weeks","2/8",28,94,23,23,21,0.601,0.614,0.094,0.114,1.836,0.662,0.613,69.8,49.2
"20%","2.5 Hours","Within","10 Weeks","2/8",32,95,27,26,25,0.627,0.642,0.103,0.119,1.845,0.902,0.666,68.5,53.4
"30%","2.5 Hours","Within","10 Weeks","2/8",34,95,29,27,26,0.643,0.658,0.108,0.122,1.851,1.058,0.694,67.8,55.4
"40%","2.5 Hours","Within","10 Weeks","2/8",35,95,30,28,27,0.652,0.668,0.113,0.124,1.856,1.171,0.714,67.4,56.5
"20%","2 Hours","Across","6 Weeks","2/8",48,99,45,41,40,0.7478,0.7705,0.1042,0.115,1.6429,1.0437,0.6166,71.62,40.53
"50%","2.5 Hours","Within","10 Weeks","2/8",36,96,30,28,28,0.659,0.676,0.116,0.125,1.861,1.26,0.729,67.1,57.3
"10%","1 Hour","Across","12 Weeks","2/8",26,93,21,21,19,0.3711,0.3944,0.0958,0.0852,1.2518,0.6966,0.6241,69.94,39.95
"20%","1 Hour","Across","12 Weeks","2/8",29,94,25,23,22,0.38,0.407,0.104,0.089,1.262,0.927,0.674,68.7,43
"30%","1 Hour","Across","12 Weeks","2/8",31,95,26,25,24,0.385,0.415,0.109,0.092,1.276,1.074,0.703,68,44.3
"40%","1 Hour","Across","12 Weeks","2/8",32,95,28,25,25,0.389,0.421,0.113,0.094,1.284,1.188,0.723,67.6,45
"50%","1 Hour","Across","12 Weeks","2/8",33,95,28,26,26,0.392,0.425,0.117,0.096,1.292,1.277,0.739,67.3,45.5
"10%","1.5 Hours","Across","12 Weeks","2/8",29,94,24,24,22,0.513,0.531,0.097,0.098,1.521,0.706,0.63,70,42.8
"20%","1.5 Hours","Across","12 Weeks","2/8",34,95,29,27,26,0.529,0.551,0.105,0.102,1.524,0.942,0.682,68.7,46.3
"30%","1.5 Hours","Across","12 Weeks","2/8",36,96,31,29,28,0.539,0.562,0.111,0.105,1.533,1.097,0.713,68,47.9
"40%","1.5 Hours","Across","12 Weeks","2/8",37,96,32,29,29,0.545,0.57,0.115,0.107,1.538,1.213,0.735,67.5,48.9
"30%","2 Hours","Across","6 Weeks","2/8",50,99,48,43,43,0.7608,0.7848,0.1113,0.1188,1.6735,1.2322,0.646,70.87,42
"50%","1.5 Hours","Across","12 Weeks","2/8",37,96,33,30,30,0.55,0.576,0.119,0.109,1.545,1.308,0.751,67.2,49.4
"10%","2 Hours","Across","12 Weeks","2/8",31,95,26,26,24,0.638,0.653,0.098,0.108,1.732,0.716,0.637,70,44.6
"20%","2 Hours","Across","12 Weeks","2/8",36,96,31,29,28,0.662,0.68,0.106,0.113,1.731,0.953,0.689,68.6,48.5
"30%","2 Hours","Across","12 Weeks","2/8",38,96,34,31,30,0.676,0.695,0.112,0.116,1.735,1.112,0.72,67.9,50.3
